Name	Value	Count	Avg
	18	3	6
 Heritage Coffee & Clothes	5	1	5
 Lẩu Đông Xuyên 	1	1	1
 Phá lấu Chú Ba.	10	3	3.33
 Trái Cây Tô - Tô Hiến Thành   	4	1	4
# The Coffee Bar IDC	8	2	4
#AlaSốt_Delivery 	10	2	5
♥Bababum Food♥Tokbokki online♥SHIP tận nhà♥	0	2	0
0	0	1	0
1102 Crab Pot - Beer And Seafood	4	1	4
121 Quán - Phá Lấu Bò	12	3	4
123 Dô Karaoke 	10	3	3.33
123 VIP Karaoke 	5	3	1.67
130000	0	1	0
1792321	0	1	0
1827752	0	1	0
1930 Tea Salon & Boutique	7	2	3.5
1985 Cafe - Thành Thái	4	1	4
1986 The Coffee Shop	25	5	5
2 Con Heo BBQ - Bình Thới	4	1	4
2 Tòn Quán - Món Ngon Phan Rang	8	2	4
2,3... Dzô Quán	4	1	4
21 Nguyễn Ảnh  Thủ  Quận  12	12	4	3
21's SECRET	48	12	4
239 Cafe	0	1	0
24 Grams Coffee	35	7	5
279 Quán - Bún Đậu Mắm Tôm	10	2	5
2C - Trà Sữa Take Away	8	2	4
3 Di - Bánh Tiêu Đậu Xanh	18	4	4.5
30/4 Cafe & Restaurant	0	4	0
310744	0	1	0
324 Coffee - Xô Viết Nghệ Tĩnh	9	2	4.5
324 điện biên phủ tphcm	0	3	0
33 Cafe - 159 Hoàng Sa	8	2	4
343 Cafe - Cafe Văn Phòng	6	2	3
343689	0	1	0
35000	0	1	0
350F Cafe and Kitchen	28	7	4
365 Degrees Pizzeria & Bar	15	6	2.5
369 BBQ Restaurant	9	2	4.5
397 Catering - Bánh Mì Xíu Mại Phan Thiết	7	2	3.5
3T Grill Restaurant	17	4	4.25
412 Coffee - Phan Xích Long	9	2	4.5
420 Tiamo Coffee - Lê Văn Sỹ 	45	9	5
438879	0	1	0
45000	0	1	0
47 Quán - Ăn Vặt	9	3	3
48 Bistro - Beefsteak & Món Âu	96	23	4.17
48 Bistro - Beefsteak & Món Âu - Diamond Plaza	8	2	4
498881	0	1	0
4Gs Texas - Steak & Pizza Pasta	21	6	3.5
4GS Texas Bakery	15	5	3
4Gs Texas Restaurant	8	4	2
4Q Ramen - Mì Ramen	9	2	4.5
5 Ku Quán	5	1	5
5 Ku Station	16	4	4
5 Muội - Lê Quý Đôn	3	1	3
543103	0	1	0
58000	0	1	0
5cheesepie	25	5	5
5cheesepieprofessionalservice	10	2	5
5food4u	0	2	0
5KU - Thế Giới Ốc - Đường Số 9A	2	2	1
5KU - Thế Giới Ốc - Hoàng Sa	8	2	4
5Ku Farm - Nông Trại & Quán Ăn	16	4	4
5ku Quán - Nguyễn Thông	10	3	3.33
5ku Station	160	37	4.32
659023	0	1	0
7 Bún Riêu	8	2	4
7 Kỳ Quan - Nhà Hàng & Cafe	49	13	3.77
702/2 Sư Vạn Hạnh	12	3	4
755382	0	1	0
7Cua - Tô Hiệu	3	1	3
8 Hòn Quán	4	1	4
8 Râu - Trương Công Định	5	1	5
81 Cafe	30	6	5
81 Cafe - Nguyễn Văn Nguyễn	19	5	3.8
8tin - Đinh Tiên Hoàng	28	7	4
9 Fast Beef	24	6	4
A Bửu Quán - Barbecue	9	3	3
A Bửu Sài Gòn - Barbecue	8	2	4
A Đù Quán - Hưng Phú	12	3	4
A Hòa - Mì Hoành Thánh	4	1	4
A Hoà Hủ Tiếu Mì Gia	4	1	4
A La - Bánh Crepe	8	2	4
A La Crepe - Hồ Biểu Chánh	4	1	4
A La Crepe - Nguyễn Biểu	4	1	4
A Little Dream - Take away Coffee	4	1	4
A Mộc Store	0	4	0
A Muỗi - Bánh Su Bánh Da Lợn	2	1	2
A Ngon - Mì Sốt Trộn	39	10	3.9
A Phón - Da Heo Chiên Giòn - Shop Online	10	2	5
A Sồi - Nguyễn Văn Linh	23	6	3.83
A Sủi - Cơm Tấm	4	1	4
A Tỷ Mì Ký	6	2	3
A Vân - Súp Cua	8	2	4
A Vĩ Bakery - Bánh Mì Thịt & Heo Quay	7	2	3.5
A&Z Restaurant	70	20	3.5
A6 Cafe	3	2	1.5
ABC Bakery - Hậu Giang	8	2	4
ABC Bakery - Lê Văn Sỹ	6	2	3
ABC Bakery - Nguyễn Trãi	24	6	4
ABC Bakery - Phạm Ngũ Lão	13	3	4.33
ABC Bakery - Quang Trung	4	1	4
ABC Bakery - Võ Văn Ngân	16	4	4
Abook Coffee	4	2	2
Acacia Veranda Dining	82	21	3.9
Aceline Bakery	4	1	4
Achaya Cafe	136	30	4.53
Achaya Cafe - Nhà Hàng Món Nhật	4	1	4
ACM	12	3	4
ACM - Ăn Vặt Bình Dân	7	2	3.5
Acoustic - Cafe Rock	12	3	4
Acoustic - Live Music Cafe	22	6	3.67
Actisô Đà Lạt Giao Hàng Tận Nơi	0	1	0
Addiction Bakery	10	2	5
Adora Premium - Tiệc Cưới Hội Nghị - Phú Mỹ Hưng	8	2	4
AEON Bakery - AEON Mall	16	4	4
AEON Citimart - Cao Thắng	24	6	4
AEON Citimart - Quang Trung	15	5	3
AEON Mall	56	14	4
Aeon Mall Bình Tân	63	18	3.5
Aeon Mall Long Biên	3	1	3
Aeon Mall Shopping Center	47	12	3.92
AEON MALL Tân Phú	35	10	3.5
After Six Sky Beer Club 	4	1	4
Ah! Ngon Quán - Cách Mạng Tháng 8	8	2	4
Ah! Tako	20	4	5
Ái Huê - Ẩm Thực Trung Hoa	74	17	4.35
Ái Huê II - Ẩm Thực Trung Hoa	45	10	4.5
Aijoubantou	142	37	3.84
Ailu Cat House Cafe - Cafe Mèo	12	3	4
Air Lounge Coffee	4	1	4
Aity Cafe - Dân Tộc	14	3	4.67
Aiya! Thế Giới Ăn Vặt - Bùi Thị Xuân	22	6	3.67
Aiya! Thế Giới Ăn Vặt - Bùi Thị Xuân 	0	2	0
Ajido - Nhà Hàng Nhật Bản - Dân Chủ	7	2	3.5
Ajisen Ramen - Kumho Asiana	23	6	3.83
Ajisen Ramen - Kumho Asiana Plaza	50	10	5
Ajisen Ramen - Nguyễn Đình Chiểu	36	9	4
Ajisen Ramen - Vincom Center A	16	4	4
Aka Sushi    	4	1	4
Akari Japan - Phan Xích Long	12	3	4
Akataiyo Mặt Trời Đỏ - Hai Bà Trưng	25	5	5
Akataiyo Restaurant	10	6	1.67
Akataiyo 赤太陽 Mặt Trời Đỏ - Hai Bà Trưng	16	4	4
Akatonbo (Chuồn Chuồn Đỏ) - Lê Thánh Tôn	5	2	2.5
Akatonbo (Chuồn Chuồn Đỏ) - Tôn Dật Tiên	8	2	4
Al Fresco's	54	16	3.38
Al Fresco's - An Dương Vương	40	10	4
Al Fresco's - Cộng Hòa	22	6	3.67
Al Fresco's - Đông Du	36	8	4.5
Al Fresco's - Mạc Đĩnh Chi	35	9	3.89
Al Fresco's - Mỹ Toàn	36	9	4
Al Fresco's - Nguyễn Thị Nghĩa	29	7	4.14
Al Fresco's - Trường Sơn	28	7	4
Al Fresco's - Xuân Thủy	16	4	4
Alan Coffee	6	2	3
Ali Foodcorner	76	19	4
Alice Tea & Dessert House	4	1	4
Alifoodcorner - Chung Cư Ngô Gia Tự	45	13	3.46
Allez Boo Restaurant & Pub	2	1	2
Alo Trà - Lê Lai	8	2	4
Alogiaocom - Cơm Văn Phòng Giao Tận Nơi	4	1	4
ALORASHOP21	0	1	0
Ẩm Thực Biển Xanh - Huỳnh Tấn Phát	4	1	4
Ẩm Thực Buffet Chay An Đông	13	3	4.33
Âm Thực Chay Hạt Bồ Đề	10	2	5
Ẩm Thực Chay Lạc Việt	8	2	4
Ẩm Thực Gấu Con - Bán Hàng Online	105	21	5
Ẩm Thực Góc Miền Trung	8	2	4
Ẩm Thực Hương Bắc	8	2	4
Ẩm Thực Muối Ớt Xanh	4	1	4
Ẩm Thực Nam Bộ	4	1	4
Ẩm Thực Nhà Bu - Bánh Bột Lọc Huế	8	2	4
Ẩm Thực Quê Nhà - Công Trường Quốc Tế	12	3	4
Ẩm Thực Sao Mai	16	4	4
Ẩm thực Sáu Bảnh	6	2	3
Ẩm Thực Siêu Thị Ốc	3	1	3
Ẩm thực sinh thái Làng Ta - KDC Trung Sơn	5	1	5
Ẩm Thực Thái Lan Baan Mai	7	2	3.5
Ẩm Thực Vị Thủy - Nguyễn Ảnh Thủ	4	1	4
Ẩm Thực Xứ Mường	8	2	4
Ẩm thực xứ Quảng - Phan Đăng Lưu	5	1	5
Amare Bakery	16	4	4
Amasvin Bubble Tea	26	7	3.71
Amazon World - Cafe Bãi Biển	5	1	5
Amigo Restaurant - Beefsteak Hữu Nghị	35	7	5
AMOR - Nhà Hàng Tiệc Cưới - Cao Thắng	8	2	4
Amorê Coffee Take Away	32	8	4
Amory - Vincom Center B	9	3	3
Amory Ice Cream - Kem Aboong Hàn Quốc - Vincom Lê Thánh Tôn	10	3	3.33
Ampm - Restaurant & Cafe 	14	4	3.5
Amy 9 Karaoke 	13	5	2.6
Amy Coffee 4 - Khổng Tử	7	2	3.5
An An Quán	5	1	5
An An Quán - Vĩnh Khánh	15	3	5
An An Spa	6	2	3
An Cafe & Restaurant - Vietnamese Cuisine	7	2	3.5
An Deli	7	2	3.5
Ăn Đêm Sài Gòn	52	13	4
Ăn Đêm SÀi Gòn - Giao Hàng Tận Nơi	8	2	4
An Dem SG	26	10	2.6
