Name	Value	Count
	93	13
 Heritage Coffee & Clothes	5	1
 Lẩu Đông Xuyên 	1	1
 Phá lấu Chú Ba.	10	3
 Trái Cây Tô - Tô Hiến Thành   	4	1
# The Coffee Bar IDC	8	2
#AlaSốt_Delivery 	25	5
0	0	1
1102 Crab Pot - Beer And Seafood	4	1
121 Quán - Phá Lấu Bò	24	6
123 Dô Karaoke 	63	18
123 VIP Karaoke 	112	46
130000	0	1
1930 Tea Salon & Boutique	7	2
1985 Cafe - Thành Thái	16	4
1986 The Coffee Shop	30	6
2 Con Heo BBQ - Bình Thới	4	1
2,3... Dzô Quán	4	1
21 Nguyễn Ảnh  Thủ  Quận  12	12	4
21's SECRET	48	12
24 Grams Coffee	65	13
279 Quán - Bún Đậu Mắm Tôm	45	9
3 Di - Bánh Tiêu Đậu Xanh	28	6
30/4 Cafe & Restaurant	12	10
324 Coffee - Xô Viết Nghệ Tĩnh	9	2
324 điện biên phủ tphcm	0	10
33 Cafe - 159 Hoàng Sa	8	2
343 Cafe - Cafe Văn Phòng	6	2
343689	0	1
35000	0	1
350F Cafe and Kitchen	44	11
365 Degrees Pizzeria & Bar	70	18
369 BBQ Restaurant	9	2
397 Catering - Bánh Mì Xíu Mại Phan Thiết	14	4
3T Grill Restaurant	2866	740
412 Coffee - Phan Xích Long	9	2
420 Tiamo Coffee - Lê Văn Sỹ 	45	9
438879	0	1
47 Quán - Ăn Vặt	3	1
48 Bistro - Beefsteak & Món Âu	101	24
498881	0	9
4Gs Texas - Steak & Pizza Pasta	6	2
4GS Texas Bakery	21	7
4Gs Texas Restaurant	8	4
4Q Ramen - Mì Ramen	9	2
5 Ku Quán	20	4
5 Ku Station	32	8
5 Muội - Lê Quý Đôn	27	9
543103	0	1
5cheesepie	65	13
5food4u	0	1
5KU - Thế Giới Ốc - Đường Số 9A	2	2
5KU - Thế Giới Ốc - Hoàng Sa	16	4
5Ku Farm - Nông Trại & Quán Ăn	16	4
5ku Quán - Nguyễn Thông	14	4
5ku Station	8308	1901
659023	0	4
7 Bún Riêu	8	2
7 Kỳ Quan - Nhà Hàng & Cafe	948	244
702/2 Sư Vạn Hạnh	16	4
755382	0	1
7Cua - Tô Hiệu	3	1
8 Hòn Quán	56	14
8 Râu - Trương Công Định	20	4
81 Cafe	35	7
81 Cafe - Nguyễn Văn Nguyễn	15	4
8tin - Đinh Tiên Hoàng	28	7
9 Fast Beef	24	6
A Bửu Quán - Barbecue	15	5
A Bửu Sài Gòn - Barbecue	8	2
A Đù Quán - Hưng Phú	16	4
A Hòa - Mì Hoành Thánh	4	1
A Hoà Hủ Tiếu Mì Gia	52	13
A La - Bánh Crepe	8	2
A La Crepe - Hồ Biểu Chánh	4	1
A La Crepe - Nguyễn Biểu	8	2
A Little Dream - Take away Coffee	4	1
A Mộc Store	0	5
A Muỗi - Bánh Su Bánh Da Lợn	2	1
A Ngon - Mì Sốt Trộn	63	16
A Phón - Da Heo Chiên Giòn - Shop Online	20	4
A Sồi - Nguyễn Văn Linh	1320	377
A Sủi - Cơm Tấm	4	1
A Tỷ Mì Ký	6	2
A Vĩ Bakery - Bánh Mì Thịt & Heo Quay	7	2
A&Z Restaurant	1050	300
A6 Cafe	3	2
ABC Bakery - Hậu Giang	8	2
ABC Bakery - Lê Văn Sỹ	6	2
ABC Bakery - Nguyễn Trãi	80	20
ABC Bakery - Phạm Ngũ Lão	13	3
ABC Bakery - Quang Trung	4	1
ABC Bakery - Võ Văn Ngân	20	5
Abook Coffee	4	2
Acacia Veranda Dining	7512	1920
Aceline Bakery	12	3
Achaya Cafe	9038	1962
Achaya Cafe - Nhà Hàng Món Nhật	8	2
ACM	16	4
ACM - Ăn Vặt Bình Dân	7	2
Acoustic - Cafe Rock	12	3
Acoustic - Live Music Cafe	38	10
Actisô Đà Lạt Giao Hàng Tận Nơi	0	1
Addiction Bakery	25	5
Adora Premium - Tiệc Cưới Hội Nghị - Phú Mỹ Hưng	8	2
AEON Bakery - AEON Mall	4	1
AEON Citimart - Cao Thắng	1736	434
AEON Citimart - Quang Trung	417	156
AEON Mall	84	21
Aeon Mall Bình Tân	21	6
Aeon Mall Long Biên	3	1
Aeon Mall Shopping Center	984	242
AEON MALL Tân Phú	93	22
After Six Sky Beer Club 	4	1
Ah! Ngon Quán - Cách Mạng Tháng 8	8	2
Ah! Tako	45	9
Ái Huê - Ẩm Thực Trung Hoa	1104	285
Ái Huê II - Ẩm Thực Trung Hoa	70	15
Aijoubantou	2893	760
Air Lounge Coffee	4	1
Aity Cafe - Dân Tộc	757	168
Aiya! Thế Giới Ăn Vặt - Bùi Thị Xuân	30	8
Aiya! Thế Giới Ăn Vặt - Bùi Thị Xuân 	0	3
Ajido - Nhà Hàng Nhật Bản - Dân Chủ	7	2
Ajisen Ramen - Kumho Asiana	16	4
Ajisen Ramen - Kumho Asiana Plaza	60	12
Ajisen Ramen - Nguyễn Đình Chiểu	40	10
Ajisen Ramen - Vincom Center A	24	6
Aka Sushi    	4	1
Akari Japan - Phan Xích Long	40	10
Akataiyo Mặt Trời Đỏ - Hai Bà Trưng	35	7
Akataiyo Restaurant	2278	612
Akataiyo 赤太陽 Mặt Trời Đỏ - Hai Bà Trưng	16	4
Akatonbo (Chuồn Chuồn Đỏ) - Lê Thánh Tôn	5	2
